Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
100700,"г. Барановичи, ул. Бадака, 76а",,"M, V, L","M, V, L",53.121833333,25.947666667
100701,"г. Брест, пр-т Машерова, 21-2",,"M, V, L","M, V",52.086211389,23.696817778
100702,"г. Брест, ул. Энгельса, 3",,"M, V, L","M, V",52.092950556,23.681679722
100703,"г. Брест, бул. Космонавтов, 21",,"M, V, L","M, V, L",52.097880278,23.694256944
100704,"г. Брест, ул. Московская, 202-5",,"M, V, L","M, V",52.097910833,23.730733056
100705,"г. Брест, ул. Кижеватова, 76",,"M, V, L","M, V",52.106663889,23.690358333
100706,"г. Брест, ул. Строительная, 56",,"M, V, L","M, V",52.116745278,23.738891111
100707,"г. Брест, ул. Смирнова, 66",,"M, V, L","M, V, L",52.103139167,23.646604167
100708,"г. Брест, ул. Катин Бор, 105",,"M, V, L","M, V",52.142676667,23.668634722
100709,"г. Брест, ул. Суворова, 21",,"M, V, L",,52.064444444,23.741666667
100710,"г. Брест, ул. Городская, д. 60",,"M, V, L",,52.134268,23.732568
100711,"г. Брест, ул. Московская, 275",,"M, V, L","M, V",52.099301111,23.76952
100713,"г. Брест, погран переход Варшавский Мост",,"M, V, L","M, V",52.073083333,23.671166722
100716,"г. Брест, ул. Поплавского, 54",,"M, V, L","M, V",52.097780556,23.666029444
100720,"г. Брест, (д.Старые Задворцы) ул.Коммерческая, 17",,"M, V, L",,52.131805556,23.772472222
100721,"г. Брест, ул. Гоздецкого, 11",,"M, V, L","M, V",52.112600278,23.786211944
100723,д. Рогозно,"M, V, L",,,52.158055556,24.08680556
100724,д. Забужки,"M, V, L",,,52.20033333,24.298972222
100725,"г. Кобрин, ул. Пролетарская, 127",,"M, V, L","M, V, L",52.220069444,24.338383333
100726,"г. Брест, ул. Суворова, 112",,"M, V, L","M, V, L",52.072413889,23.760913889
100727,"г. Брест, пр-т Партизанский, 30",,"M, V, L","M, V, L",52.109836111,23.757883333
100728,"г. Брест, пр-т Машерова, 75/1",,"M, V, L","M, V, L",52.088786389,23.713861944
100731,а.г. Остромичи,"M, V, L",,,52.2815,24.47938889
100733,д. Винин,"M, V, L",,,52.45191667,24.87927778
100735,"г. Пружаны, ул. Красноармейская, 81",,"M, V, L","M, V",52.563944444,24.480583333
100737,"г. Каменец, ул. Ленина","M, V, L","M, V, L","M, V",52.40358333,23.82122222
100741,д. Речица,"V, L",,,52.56858333,25.14558333
100742,"г. Ивацевичи, ул. Заводская, 33",,"M, V, L","M, V",52.702111111,25.351277778
100743,н.п. Чемелы,"M, V, L",,,52.78566667,25.53405556
100750,"г. Жабинка, ул. Школьная, 4",,"M, V, L","M, V",52.195994444,24.009405556
100752,"г. Барановичи, ул. Королика, 8",,"M, V, L","M, V, L",53.160502778,26.019244444
100753,"г. Барановичи, ул. Советская, 82",,"M, V, L","M, V, L",53.132055556,26.015833333
100754,"г. Барановичи, ул. Ленина, 30-3",,"M, V, L","M, V, L",53.132027778,26.036177778
100755,"г. Барановичи, ул. Фабричная, 7",,"M, V, L","M, V, L",53.147444444,26.044777778
100757,"г. Ивацевичи, ул. Шевченко, 23",,"M, V, L","M, V",52.718305556,25.331277778
