Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
300436,"д. Теребов, ул. Комсомольская, д. 1а","M, V, L",,,52.238888889,28.9475
300461,"г. Рогачев, ул. Владимира Ленина, 142",,"M, V, L","M, V, L",53.098888889,30.056111111
300464,"г. Рогачев, ул. Феликса Дзержинского, 17",,"M, V, L","M, V, L",53.079722222,30.048888889
300465,"г. Жлобин, ул. Карла Маркса, 1А",,"M, V, L","M, V",52.913805556,30.043638889
300466,"г. Жлобин, ул. Петровского, 17",,"M, V, L","M, V",52.8915,30.040361111
300467,д. Наспа ,"M, V, L",,,52.709916667,30.344305556
300470,"г. Гомель, ул. Советская, 170",,"M, V, L","M, V, L",52.463109053,30.984954783
300471,"г. Гомель, пр-т Ленина, 1-5",,"M, V, L","M, V, L",52.424143006,31.01265239
300472,"г. Гомель, ул. Советская, 126",,"M, V, L","M, V, L",52.44987344,30.995200204
300473,"г. Гомель, ул. Советская, 157",,"M, V, L","M, V, L",52.472793088,30.978933457
300474,"г. Гомель, пл. Привокзальная, 1",,"M, V, L","M, V, L",52.432064602,30.992908503
300476,"г. Гомель, ул. Ильича, 2",,"M, V, L","M, V",52.403098843,31.022599431
300477,"г. Гомель, ул. Ильича, 331",,"M, V, L","M, V, L",52.356477769,31.029007475
300478,"г. Гомель, ул. Космонавтов, 74",,"M, V, L","M, V, L",52.455310279,30.959123296
300479,"г. Гомель, ул. Барыкина, д. 269",,"M, V, L","M, V, L",52.423710768,30.943712096
300480,"г. Гомель, пр-т Речицкий, 135",,"M, V, L","M, V, L",52.404489543,30.908696202
300481,"г. Гомель, ул. Бровки, 15",,"M, V, L","M, V, L",52.473050252,31.028390859
300482,"г. Гомель, ул. Островского, 90",,"M, V, L","M, V, L",52.421417808,30.976689411
300483,"г. Гомель, ул. Достоевского, 3",,"M, V, L","M, V, L",52.384138889,31.020194444
300484,"г. Гомель, ул. Могилевская,16",,"M, V, L",,52.453591007,30.926480064
300485,"г. Гомель, ул. Пушкина, 6 А",,"M, V, L","M, V, L",52.433609996,31.01138316
300486,"г. Гомель, ул. Малайчука, 12",,"M, V, L","M, V, L",52.461144444,30.999322222
300487,"г. Гомель, ул. Шоссейная, 41",,"M, V, L","M, V, L",52.445775,30.973761111
300488,"г. Гомель, ул. Интернациональная, 49",,"M, V, L","M, V, L",52.417869444,31.001125
300489,"г. Гомель, пр-т Октября, 27",,"M, V, L","M, V, L",52.406722297,30.958027985
300490,"г. Гомель, пр-т Октября, 48",,"M, V, L","M, V, L",52.406662554,30.938273128
300491,"г. Гомель, ул. Советская, 60",,"M, V, L","M, V, L",52.439249072,31.002840064
300492,"г. Гомель, пр-т Речицкий, 7а",,"M, V, L","M, V, L",52.415662827,30.957904442
300493,"г. Гомель, ул. Речицкая, 1а",,"M, V, L","M, V, L",52.423222222,30.998475
300494,"г. Гомель, ул. Мазурова, 110",,"M, V, L","M, V, L",52.460188258,31.022142531
300496,"г. Гомель, ул. Добрушская, 5Б",,"M, V, L","M, V",52.402944444,31.054611111
300498,"г. Гомель, ул. 50 лет Гомсельмаша, 4а",,"M, V, L","M, V, L",52.449800997,30.964426938
300499,"г. Гомель, пр-т Космонавтов, 69",,"M, V, L","M, V, L",52.458958958,30.954185965
300648,"г.п. Корма, ул. Гомельская, 1",,"M, V, L",,53.123361111,30.804666667
300699,"г. Буда-Кошелево, ул. Головачева, 10",,"M, V, L","M, V, L",52.716952778,30.569222222
300902,"г. Мозырь, ул. Нефтестроителей, 10",,"M, V, L","M, V, L",52.040573807,29.215433001
300903,"г. Мозырь, ул. Октябрьская, 14",,"M, V, L","M, V",52.053963754,29.241191572
300904,"г. Мозырь, ул. Студенческая, 12",,"M, V, L","M, V, L",52.050048343,29.261483
300905,"г. Мозырь, б-р Страконицкий, 14А",,"M, V, L","M, V, L",52.028555556,29.237833333
300907,"г. Наровля, ул. Фабричная, 2",,"M, V, L","M, V",51.806138848,29.497611242
300908,"г. Ельск, ул. Ленинская, 6, пом. 1",,"M, V, L","M, V",51.803219444,29.153183333
300909,"г. Хойники, ул. Революционная, 1",,"M, V, L","M, V, L",51.90217,30.00369
300911,"г.п. Брагин, ул. Зеленая, 2",,"M, V, L",,51.7975,30.259722222
300913,"г. Речица, ул. Конева, 2",,"M, V, L",,52.370666667,30.384472222
300914,"г. Речица, ул. Чапаева, 61а",,"M, V, L","M, V",52.350919444,30.382341667
300918,"г. Речица, ул. Строителей, 4",,"M, V, L","M, V, L",52.37235,30.348888889
300919,"г. Калинковичи, ул. Мира, 1Б",,"M, V, L","M, V, L",52.126222222,29.337777778
300922,"г. Мозырь, ул. Интернациональная, 109",,"M, V, L","M, V, L",52.034861111,29.262527778
300923,"г. Петриков, ул. Гагарина, 16",,"M, V, L","M, V, L",52.125469444,28.496222222
300927,"г. Житковичи, ул. К. Маркса, 23",,"M, V, L","M, V, L",52.217444444,27.860672222
300930,"г. Мозырь, б-р Юности, 26",,"M, V, L","M, V, L",52.032869068,29.213243464
300942,"г. Светлогорск, ул. Ленина, 47в",,"M, V, L","M, V, L",52.634622222,29.735158333
300943,"г. Светлогорск, мр-н Молодежный, 113",,"M, V, L","M, V, L",52.628305556,29.7205
300944,"г.п. Октябрьский, ул. Советская, 59",,"M, V, L","M, V",52.647277778,28.883083333
300946,"г.п. Лельчицы, ул. Советская, 55",,"M, V, L","M, V, L",51.788194444,28.322888889
300949,д. Красная Слобода,"M, V, L",,,52.554027778,28.586833333
300951,"г. Светлогорск, ул. Заводская, 5",,"M, V, L","M, V",52.610513889,29.781613889
300952,"г. Светлогорск, м-н Молодежный, 57",,"M, V, L","M, V, L",52.622591667,29.720669444
300960,"г.п. Лоев, ул. Батова, 58",,"M, V, L",,51.937777778,30.793611111
300965,"г. Ветка, ул. Батракова М.Г., 36",,"M, V, L",,52.566666667,31.17725
300966,"г. Добруш, ул. Луначарского, 2",,"M, V, L","M, V, L",52.411166667,31.317472222
300967,"п. Селище-2, Кормянский с/с","M, V, L",,,52.376,31.490055556
300969,д. Марковичи,"M, V, L",,,52.129611111,31.239694444
300971,севернее р.п. Сосновый Бор,"M, V, L",,,52.521888908,29.589611035
300973,"агрогородок Завойть, ул. Советская, 118-А","M, V, L",,,51.805638889,29.383472222
300976,"н.п. Заширье, ул. 50 лет СССР, д. 3А","M, V, L",,,51.75725,28.717027778
300977,"агрогордок Буйновичи, улица Первомайская, дом 3А ","M, V, L",,,51.864777778,28.542833333
300980,агрогордок Шерстин,"M, V, L",,,52.658555556,31.041555556
300992,"д. Новоселки, 3","M, V, L",,,52.358805556,29.225305556
300993,агрогордок Махновичи,"M, V, L",,,51.879777778,28.788277778
300995,"агрогордок Мелешковичи, ул. Южная, д. 47а","M, V, L",,,51.923916667,28.990861111
300996,"д. Мироненки, ул. Советская, 43А","M, V, L",,,52.389861111,29.583861111
300997,"д. Колки, д. 11а","M, V, L",,,52.419583333,28.965277778
300998,д. Лучицкий ,"M, V, L",,,52.441777778,28.792888889
301072,г. Житковичи,"M, V, L",,,52.17456,27.8548
301086,д. Вересница,"M, V, L",,,52.077361111,27.623944444
