Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
400634,"г. Гродно, ул. Курчатова, р-н д.34, к.1",,"M, V, L","M, V, L",53.706061111111,23.85473056
400645,"г. Гродно, ул. Понемуньская, д. 20",,"M, V, L",,53.66128,23.87031
400736,"г. Слоним, ул. Брестская, 40",,"M, V, L","M, V, L",53.088333333333,25.30719444
400771,"г. Кореличи, ул. Артюха, 13",,"M, V, L","M, V, L",53.576194444444,26.14304444
400791,"г. Слоним, ул. Коссовский тракт, 100",,"M, V, L","M, V, L",53.070677777778,25.31149722
400800,"г. Гродно, ул. К.Маркса, 29",,"M, V, L","M, V, L",53.676472222222,23.83830833
400801,"г. Гродно, ул. Космонавтов, 100",,"M, V, L","M, V, L",53.676983333333,23.89436667
400802,"г. Гродно, ул.  Томина, 6А",,"M, V, L","M, V, L",53.648483333333,23.83343611
400803,"г. Гродно, ул. Горького, 89",,"M, V, L","M, V, L",53.704666666667,23.81911111
400804,"г. Гродно, ул. Калиновского, 1",,"M, V, L","M, V, L",53.690972222222,23.82438889
400805,"г. Гродно, ул. Поповича, 50",,"M, V, L",,53.67047222,23.80152777
400806,"г. Гродно, ул. Суворова, 135",,"M, V, L","M, V",53.650988888889,23.78531389
400807,"г. Гродно, ул. Врублевского, 1",,"M, V, L","M, V, L",53.699055555556,23.80938889
400809,"г. Гродно, ул. Советская, 18",,"M, V, L","M, V, L",53.682336111111,23.83162778
400810,"г. Гродно, ул. Транспортная, 3",,"M, V, L","M, V, L",53.670419444444,23.82238333
400812,"г. Гродно, пр-т Я.Купалы, 63",,"M, V, L","M, V, L",53.654416666667,23.84663889
400814,"г. Гродно, ул. Ленинского комсомола, 50",,"M, V, L","M, V, L",53.695363888889,23.79606111
400815,"г. Гродно, ул. Мясницкая, 26 ",,"M, V, L","M, V, L",53.720430555556,23.82816389
400816,"г. Гродно, пр-т Космонавтов, 56",,"M, V, L","M, V",53.674580555556,23.86323889
400817,"г. Гродно, ул. Тимирязева, д. 16",,"M, V, L",,53.692008333333,23.846211111111
400818,"г. Гродно, ул. Держинского, 113",,"M, V, L","M, V",53.70510201,23.84076314
400820,"г. Гродно, ул. Богуцкого, 10",,"M, V, L","M, V, L",53.709422050444,23.80522613
400821,"г. Гродно, пер. Победы, 12",,"M, V, L","M, V",53.658472222,23.818333333
400822,"г. Гродно, ул. Куйбышева, 31",,"M, V, L","M, V, L",53.686041666667,23.87085556
400825,"г. Гродно, ул. Малыщинская, 7",,"M, V, L","M, V, L",53.712558333333,23.85406944
400826,"г. Гродно, ул. Репина, 38",,"M, V, L","M, V",53.66175,23.79252778
400827,"г. Гродно, Скидельское шоссе, 20",,"M, V, L",,53.661397222222,23.95468889
400828,"г. Гродно, ул. Буденного, 23",,"M, V, L","M, V",53.685216666667,23.84733056
400835,"г.п. Б. Берестовица, ул. Ленина, 10",,"M, V, L","M, V",53.196083333333,24.01883333
400836,"г.п. Свислочь, ул. Дзержинского",,"M, V, L","M, V",53.033088888889,24.09415
400837,"г. Волковыск, ул. С. Панковой, 58",,"M, V, L","M, V, L",53.167847222222,24.44661667
400838,"г. Волковыск, ул. Зенитчиков, д. 27",,"M, V, L",,53.148888889,24.4625
400839,"г. Волковыск, ул. Октябрьская, 133/21",,"M, V, L","M, V",53.131146,24.416631
400840,"г. Лида, ул. Рыбиновского, 20",,"M, V, L","M, V, L",53.897222222222,25.27127778
400845,"д. Мыто, ул. Речная, 10А/1","M, V, L",,,53.8275,25.120555555556
400847,аг. Морино,"V, L",,,53.878166666667,25.700694444444
400848,д. Лугомовичи,"M, V, L",,,53.893388888889,25.959222222222
400849,д. Бакшты,"M, V, L",,,53.945138888889,26.189361111111
400850,"г. Новогрудок, ул. Мицкевича, 3",,"M, V, L","M, V, L",53.595833333333,25.82361111
400854,"г. Новогрудок, ул.Волчецкого, 51А",,"M, V, L","M, V, L",53.594388888889,25.811
400861,"г. Лида, ул. Советская, 45",,"M, V, L","M, V, L",53.898847222222,25.29597222
400862,"г. Лида, ул. Замковая, 6",,"M, V, L","M, V, L",53.8875,25.30083333
400863,"г. Лида, ул. Первая Новопрудская, 42",,"M, V, L","M, V",53.865394,25.319867
400866,"г. Мосты, ул. Советская, 55",,"M, V, L","M, V, L",53.417138888889,24.55375
400869,"г. Щучин, ул. Советская, 4",,"M, V, L","M, V, L",53.607016666667,24.74265278
400870,"г. Гродно, ул. Василька, 31",,"M, V, L","M, V",53.682368005643,23.83949914
400877,"г. Сморгонь, ул. Советская, 29",,"M, V, L","M, V, L",54.481455555556,26.39375556
400878,"г. Ошмяны, пер. Якуба Коласа, 20",,"M, V, L","M, V",54.428305555556,25.92722222
400879,"г. Гродно, ул. Белуша, 19",,"M, V, L","M, V, L",53.67175,23.84741667
400887,"г. Сморгонь, ул. Юбилейная, 31",,"M, V, L","M, V, L",54.476777777778,26.41326667
400890,"г.п. Вороново ул. Советская, 31",,"M, V, L","M, V, L",54.151388888889,25.31944444
401118,"г. Островец, ул. Строителей, р-н д. 1",,"M, V, L","M, V",54.61525,25.97548889
401131,"г. Новогрудок, ул. Мицкевича",,"M, V, L","M, V, L",53.581980555556,25.79658056
401164,"г. Щучин, р-н ул. Рудого В.А., 3",,"M, V, L","M, V",53.593352777778,24.72501389
401219,"г. Гродно, ул. Гаспадарчая, 19",,"M, V, L",,53.710702777778,23.82599167
401221,"г. Лида, ул. Южный Городок, 6А",,"M, V, L","M, V, L",53.874261111111,25.34322778
401226,"г. Гродно, ул. Врублевского, 5",,"M, V, L","M, V, L",53.701111111111,23.8086
401227,"г. Гродно, пр-т Космонавтов, 100/111",,"M, V, L","M, V",53.673063888889,23.8926
401230,"г. Гродно, ул. Болдина, 11",,"M, V, L","M, V, L",53.690988888889,23.79951389
401231,"г. Гродно, ул. Славинского, 4/31",,"M, V, L",,53.6364,23.82957778
401267,"г. Гродно, пересечение ул. Франтишка Богушевича и ул. Наполеона Орды",,"M, V, L","M, V",53.6152,23.809503
401424,д. Беляны,"M, V, L",,,53.627916666667,23.645972222222
401446,"г. Слоним, ул. Черняховского, д. 9А",,"M, V, L","M, V, L",53.078889,25.329444
401454,"г. Гродно, ул. Красноармейская, д.3",,"M, V, L",,53.677224,23.842245
401493,"г. Мосты, пл. Ленина, 2",,"M, V, L","M, V",53.413186,24.542138
401495,"г. Гродно, ул. Доватора, 4",,"M, V, L","M, V",53.692821,23.828461
401496,"г. Сморгонь, ул. Победы, 14",,"M, V, L","M, V",54.483583,26.380528
401497,"г. Сморгонь, пер. Больничный, 13",,"M, V, L","M, V",54.489053,26.404899
401604,"г. Лида, ул. Черняховского, 30",,"M, V, L","M, V, L",53.893733,25.287264
401614,"г. Волковыск, ул. Советская, 34",,"M, V, L","M, V, L",53.162981,24.470453
401646,"г. Лида, ул. Фурманова, 17",,"M, V, L","M, V",53.869972222222,25.294666666667
401657,"г. Островец, ул. Короткевича",,"M, V, L",,54.605555556,25.971588889
401660,"г. Гродно, ул. Брикеля, 7",,"M, V, L","M, V, L",53.699606,23.845518
