Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
700000,"г. Минск, пр-т Независимости, 95-11",,"M, V, L","M, V",53.925444444444,27.61525
700001,"г. Минск, ул. Короля, 5-15",,"M, V, L","M, V, L",53.901472222222,27.54380556
700002,"г. Минск, Октябрьская пл., 1-1",,"M, V, L","M, V, L",53.9035,27.56025
700004,"г. Минск, пр. Победителей, 21",,"M, V, L","M, V",53.911055555556,27.54519444
700005,"г. Минск, пр-т. Машерова, 11",,"M, V, L",,53.915277777778,27.57030556
700006,"г. Минск, пл. Свободы, 17",,"M, V, L","M, V, L",53.904416666667,27.55366667
700007,"г. Минск, ул. Кирова, 8, к. 2",,"M, V, L","M, V, L",53.894169444444,27.55516111
700008,"г. Минск, ул. Мельникайте, 4",,"M, V, L","M, V, L",53.906597222222,27.54280278
700009,"г. Минск, пр-т Машерова, 17",,"M, V, L","M, V, L",53.915316666667,27.56356389
700010,"г. Минск, ул. Советская, 7",,"M, V, L","M, V, L",53.894766666667,27.54250278
700011,"г. Минск, ул. К.Маркса, 16",,"M, V, L","M, V",53.897777777778,27.5575
700013,"г. Минск, пр. Независимости, 10",,"M, V, L","M, V, L",53.8965,27.5515
700014,"г. Минск, пр-т Победителей, 31-1",,"M, V, L","M, V, L",53.912222222222,27.53838889
700015,"г. Минск, пр-т Независимости, 21",,"M, V, L","M, V, L",53.900722222222,27.55836111
700016,"г. Минск, ул. Красноармейская, 3",,"M, V, L",,53.902736111111,27.564875
700018,"г. Минск, ул. Бобруйская, 5",,"M, V, L",,53.892727777778,27.54529444
700019,"г. Минск, ул. Комсомольская, 12",,"M, V, L",V,53.902380555556,27.55202222
700020,"г. Минск, пр-т Независимости, 40а",,"M, V, L","M, V, L",53.908947030404,27.57785611
700021,"г. Минск, ул. Киселева, 12",,"M, V, L",,53.912588888889,27.57002222
700022,"г. Минск, ул. Прилукская, 46а",,"M, V, L",,53.883555555556,27.49652778
700023,"г. Минск, ул. Семашко, 8",,"M, V, L","M, V, L",53.859991666667,27.4952
700024,"г. Минск, ул. Сергея Есенина, 66",,"M, V, L","M, V, L",53.857041666667,27.44448056
700025,"г. Минск, ул. Центральная, 46",,"M, V, L","M, V, L",53.877166641052,27.65861097
700026,"г. Минск, ул. Лынькова, 123",,"M, V, L",,53.929805562148,27.463222078433
700027,"г. Минск, ул. Бетонный проезд, 1/2",,"M, V, L",,53.897453959115,27.509687938474
700028,"г. Минск, пр. Независимости, 49",,"M, V, L","M, V, L",53.917,27.58483333
700029,"г. Минск, ул. К. Цеткин, 18, корпус 19",,"M, V, L","M, V, L",53.898388919967,27.537000182691
700031,"г. Минск, пер. С.Ковалевской, 61",,"M, V, L",,53.867027777778,27.51158333
700032,"г. Минск, ул. Иосифа Гошкевича, 10",,"M, V, L","M, V, L",53.842666666667,27.56813889
700034,"г. Минск, ул. Шаранговича, 39",,"M, V, L","M, V, L",53.881075,27.447419444444
700036,"г. Минск, ул. Якубовского, 52",,"M, V, L","M, V, L",53.893444444444,27.45136111
700037,"г. Минск, ул. Янки Лучины, 14",,"M, V, L","M, V, L",53.837722222222,27.56925
700039,"г. Минск, ул. Я. Коласа, 12",,"M, V, L","M, V, L",53.921055555556,27.58941667
700040,"г. Минск, пр. Газеты Звезда, 61",,"M, V, L","M, V, L",53.857856117492,27.46200308
700041,"г. Минск, ул. Казинца, 121а, к. 2",,"M, V, L","M, V, L",53.843091666667,27.50812778
700042,"г. Минск, ул. Менделеева, 13",,"M, V, L","M, V",53.903,27.61711111
700043,"г. Минск, 2-й пер. Багратиона, 18а",,"M, V, L","M, V, L",53.907644444444,27.62390278
700044,"г. Минск, ул. Надеждинская, 58",,"M, V, L","M, V, L",53.876244444444,27.5635
700045,"г. Минск, ул. Плеханова, 34",,"M, V, L","M, V, L",53.865166666667,27.60972222
