Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
600404,"г. Кличев, ул. Красноармейская, 19",,"M, V, L","M, V, L",53.487888888889,29.33702778
600451,"г. Бобруйск, ул. Минская, 21",,"M, V, L","M, V, L",53.148194461231,29.22988892
600452,"г. Бобруйск, ул. Чонгарская, 37",,"M, V, L","M, V",53.1313,29.22963889
600453,"г. Бобруйск, ул. Бахарова, 225",,"M, V, L",,53.126219970406,29.20013499
600454,"г. Бобруйск, ул. Гоголя, 177",,"M, V, L","M, V, L",53.149722222222,29.18802778
600455,"г. Бобруйск, ул. 50 лет ВЛКСМ, 26",,"M, V, L","M, V, L",53.168166639597,29.1913887
600456,"г. Бобруйск, ул. Энергетиков, 9",,"M, V, L","M, V",53.18975,29.2035
600457,"г. Бобруйск, ул. Пролетарская, 37",,"M, V, L","M, V, L",53.143611111111,29.21444444
600458,"г.п. Глуск, ул. Комсомольская, 6",,"M, V, L",,52.900805555556,28.68816667
600460,"г. Кировск, ул. Кирова, 80а",,"M, V, L",,53.272388888889,29.46783333
600600,"г. Могилёв, ул. Первомайская, 29-8",,"M, V, L","M, V, L",53.900789065361,30.33577582
600612,"г. Круглое, ул. Советская, 81",,"M, V, L","M, V, L",54.256202777778,29.79441667
600628,"г.п. Дрибин, ул. Ленина, 39",,"M, V, L",,54.118166666667,31.09044444
600642,"Мостокский с\с, д. Мосток","M, V, L",,,53.98925,30.462472222222
600643,"Словенский с\с, д. Любиничи","M, V, L",,,54.233333333333,30.447111111111
600644,"г. Шклов, ул. Малое Заречье",,"M, V, L",,54.205527777778,30.318833330556
600647,"г. Горки, пр-т Интернациональный, 7а",,"M, V, L","M, V, L",54.300544444444,30.98341667
600650,"г. Могилёв, б-р Юбилейный, 21",,"M, V, L","M, V, L",53.903985,30.357223
600651,"г. Могилёв, ул. Пионерская, 27",,"M, V, L","M, V, L",53.900805555556,30.34243611
600652,"г. Могилёв, пр-т Шмидта, 3, к. 2",,"M, V, L","M, V, L",53.874222222222,30.317
600653,"г. Могилёв, ул. 30 лет Победы, 18",,"M, V, L","M, V, L",53.932555555556,30.36166667
600654,"г. Могилёв, пр-т Пушкинский, 6",,"M, V, L","M, V, L",53.88325,30.33586111
600655,"г. Могилев, ул. Авиаторов, 17",,"M, V, L","M, V, L",53.933991667,30.267833333
600656,"г. Могилев, ул. Чайковского, 8",,"M, V, L","M, V, L",53.87730554572,30.333722469936
600657,"г. Могилёв, ул. Космонавтов, 13",,"M, V, L","M, V, L",53.910583333333,30.31383333
600658,"г. Могилёв, Гомельское шоссе, 1",,"M, V, L","M, V",53.863208333333,30.35739167
600659,"г. Могилёв, ул. Белинского, 9",,"M, V, L","M, V, L",53.930377777778,30.34762222
600660,"г. Могилёв, ул. К.Симонова, 51",,"M, V, L","M, V, L",53.864388888889,30.31027778
600661,"г. Могилёв, ул. Королёва, 8",,"M, V, L","M, V, L",53.906591666667,30.36602778
600662,"г. Могилёв, ул. Первомайская, 71",,"M, V, L","M, V, L",53.90983194516,30.34345106
600663,"г. Могилёв, ул. Челюскинцев, 84",,"M, V, L","M, V, L",53.8905,30.28744444
600667,"г. Могилёв, ул. Крупской, 176",,"M, V, L","M, V, L",53.949535017307,30.356253009413
600668,"г. Могилёв, пр-т Мира, 6",,"M, V, L","M, V, L",53.910059024594,30.33312408
