Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
200519,"г. Ушачи, ул. Ленинская, 25",,"M, V, L","M, V",55.179344444444,28.61301944
200521,"г. Полоцк, ул. Успенская, 7",,"M, V, L","M, V",55.483972222222,28.793
200522,"г. Полоцк, ул. Строительная, 30/13",,"M, V, L","M, V",55.458877777778,28.72093611
200523,"г. Новополоцк, ул. Молодежная, 49Б",,"M, V, L","M, V, L",55.53625,28.6495
200524,"г. Новополоцк, ул. Олимпийская, 4",,"M, V, L","M, V",55.519625,28.670175
200525,"г. Новополоцк, ул. Я. Коласа, 14",,"M, V, L","M, V",55.530158333333,28.67380278
200526,"г. Полоцк, ул. Ефросиньи Полоцкой, 29",,"M, V, L","M, V, L",55.494975,28.76900833
200527,"г. Новополоцк, ОАО «Нафтан»",,"M, V, L","M, V, L",55.521527777778,28.56063889
200528,"г. Новополоцк, ул. Калинина, 5А",,"M, V, L","M, V, L",55.531536111111,28.660075
200534,"г. Докшицы, ул. Ленинская, 24",,"M, V, L","M, V",54.890338888889,27.76786667
200538,"г. Полоцк, ул. Мариненко, 16",,"M, V, L","M, V, L",55.469027777778,28.76077778
200542,"г. Верхнедвинск, ул. Московского, 1",,"M, V, L","M, V",55.786688888889,27.94673056
200543,"г. Миоры, ул. Свердлова",,"M, V, L","M, V",55.627638888889,27.62644444
200551,"г. Витебск, пр. Черняховского, 19",,"M, V, L","M, V, L",55.175302777778,30.19956389
200552,"г. Витебск, ул. Правды, 30",,"M, V, L","M, V",55.188,30.2165
200553,"г. Витебск, проезд С. Панковой, 6",,"M, V, L","M, V",55.190752777778,30.25971389
200554,"г. Витебск, ул. Бровки, 13а",,"M, V, L","M, V, L",55.167480555556,30.23892778
200556,"г. Витебск, ул. Бумагина, 21",,"M, V, L","M, V",55.196522222222,30.18109722
200557,"г. Витебск, ул. Ленинградская, 217г",,"M, V, L","M, V, L",55.224452777778,30.12225278
200558,"г. Витебск, ул. Революционная, 30",,"M, V, L","M, V",55.203808333333,30.189125
200559,"г. Витебск, ул. Людникова, 11",,"M, V, L","M, V, L",55.202633333333,30.21713889
200560,"г. Витебск, ул. Гагарина, 189",,"M, V, L","M, V",55.229233333333,30.27506111
200561,"г. Витебск, пр. Московский, 29",,"M, V, L","M, V, L",55.176016666667,30.22126111
200562,"г. Витебск, ул. Зеньковой, 1",,"M, V, L","M, V",55.1915,30.18935278
200563,"г. Витебск, ул. Чкалова, 36, к. 2",,"M, V, L","M, V, L",55.166636111111,30.21518056
200564,"г. Витебск, ул. Лазо, 88а/2",,"M, V, L","M, V, L",55.201155555556,30.24956944
200565,"г. Витебск, ул. Воинов интернационалистов, 1-2",,"M, V, L","M, V, L",55.162111111111,30.20288889
200566,"г. Витебск, ул. 14-я Полоцкая, 35а/1",,"M, V, L","M, V, L",55.191561111111,30.15435278
200567,"г. Витебск, ул. Марка Шагала, 8а",,"M, V, L","M, V, L",55.189258333333,30.20496667
200568,"г. Витебск, ул. Смоленская, 11А-1",,"M, V, L","M, V, L",55.187444444444,30.23605556
200569,"г. Витебск, ул. Горького, 62",,"M, V, L","M, V",55.172754038309,30.15292795
200585,"г.п. Шарковщина, ул. Рабочая, 3",,"M, V, L","M, V",55.372916666667,27.48044444
200586,"г. Глубокое, ул. Ленина, 42",,"M, V, L","M, V, L",55.139244444444,27.68539722
200587,а.г. Дуниловичи,"M, V, L",,,55.064083333,27.226138889
200593,"г. Городок, ул. Баграмяна, 42а",,"M, V, L","M, V, L",55.453916666667,29.99394444
200595,"г.п. Лиозно, ул. Ленина, 76",,"M, V, L","M, V",55.024777777778,30.79555556
200605,н.п. Плоское,"M, V, L",,,54.441666667,29.537222222
200607,"г. Толочин, пл. 40-лет Октября, 7",,"M, V, L","M, V, L",54.409263888889,29.69194444
200610,"г. Дубровно, ул. Красноармейская, 9Б",,"M, V, L","M, V",54.573363888889,30.69016667
200615,п. Жабыки,"M, V, L",,,54.655833333,30.667222222
200631,"г. Орша, ул. Кирова, 7",,"M, V, L","M, V, L",54.507861111111,30.41447222
200632,"г. Орша, ул. Владимира Ленина, 238",,"M, V, L",,54.548291666667,30.44803889
200635,"г. Орша, ул. Могилёвская, 85",,"M, V, L","M, V, L",54.4886,30.42824722
200636,"г. Барань, ул. Набережная, 1",,"M, V, L","M, V, L",54.477008333333,30.31800556
200637,"г. Орша, ул. Новаторов, 9",,"M, V, L","M, V, L",54.492336111111,30.402675
